nome;id_aluno;dominio_email;email
SAMUEL;220;@gmail.com;samuel@gmail.com
RONALDO;356;@yahoo.com;ronaldo@yahoo.com
MARIO;164;@hotmail.com;mario@hotmail.com
FLAVIO;186;@terra.com.br;flavio@terra.com.br
DOUGLAS;46;@terra.com.br;douglas@terra.com.br
IGOR;345;@yahoo.com;igor@yahoo.com
DAVI;131;@gmail.com;davi@gmail.com
MANUEL;51;@yahoo.com;manuel@yahoo.com
JEFERSON;98;@yahoo.com;jeferson@yahoo.com
CICERO;198;@outlook.com;cicero@outlook.com
VICTOR;216;@terra.com.br;victor@terra.com.br
MIGUEL;239;@terra.com.br;miguel@terra.com.br
ROBSON;290;@hotmail.com;robson@hotmail.com
MAURICIO;395;@outlook.com;mauricio@outlook.com
DANILO;348;@terra.com.br;danilo@terra.com.br
HENRIQUE;64;@outlook.com;henrique@outlook.com
CAIO;283;@gmail.com;caio@gmail.com
REGINALDO;170;@outlook.com;reginaldo@outlook.com
JOAQUIM;248;@terra.com.br;joaquim@terra.com.br
BENEDITO;258;@yahoo.com;benedito@yahoo.com
GILBERTO;252;@gmail.com;gilberto@gmail.com
MARCO;270;@gmail.com;marco@gmail.com
ALAN;355;@terra.com.br;alan@terra.com.br
NELSON;392;@outlook.com;nelson@outlook.com
CRISTIANO;154;@yahoo.com;cristiano@yahoo.com
ELIAS;360;@terra.com.br;elias@terra.com.br
WILSON;41;@gmail.com;wilson@gmail.com
VALDIR;307;@gmail.com;valdir@gmail.com
EMERSON;373;@gmail.com;emerson@gmail.com
LUAN;66;@gmail.com;luan@gmail.com
DAVID;207;@gmail.com;david@gmail.com
RENAN;9;@outlook.com;renan@outlook.com
SEVERINO;78;@yahoo.com;severino@yahoo.com
FABRICIO;59;@outlook.com;fabricio@outlook.com
MAURO;251;@yahoo.com;mauro@yahoo.com
JONAS;120;@outlook.com;jonas@outlook.com
GILMAR;142;@terra.com.br;gilmar@terra.com.br
JEAN;89;@gmail.com;jean@gmail.com
FABIANO;365;@terra.com.br;fabiano@terra.com.br
WESLEY;255;@yahoo.com;wesley@yahoo.com
DIOGO;61;@yahoo.com;diogo@yahoo.com
ADILSON;257;@hotmail.com;adilson@hotmail.com
JAIR;344;@gmail.com;jair@gmail.com
ALESSANDRO;47;@gmail.com;alessandro@gmail.com
EVERTON;87;@yahoo.com;everton@yahoo.com
OSVALDO;110;@hotmail.com;osvaldo@hotmail.com
GILSON;134;@gmail.com;gilson@gmail.com
WILLIAN;17;@gmail.com;willian@gmail.com
JOEL;194;@terra.com.br;joel@terra.com.br
SILVIO;363;@outlook.com;silvio@outlook.com
HELIO;117;@hotmail.com;helio@hotmail.com
MAICON;295;@yahoo.com;maicon@yahoo.com
REINALDO;28;@outlook.com;reinaldo@outlook.com
PABLO;141;@terra.com.br;pablo@terra.com.br
ARTUR;199;@yahoo.com;artur@yahoo.com
VAGNER;15;@yahoo.com;vagner@yahoo.com
VALTER;88;@terra.com.br;valter@terra.com.br
CELSO;266;@gmail.com;celso@gmail.com
IVAN;263;@gmail.com;ivan@gmail.com
CLEITON;223;@outlook.com;cleiton@outlook.com
VANDERLEI;244;@hotmail.com;vanderlei@hotmail.com
VICENTE;260;@gmail.com;vicente@gmail.com
ARTHUR;320;@hotmail.com;arthur@hotmail.com
MILTON;104;@yahoo.com;milton@yahoo.com
DOMINGOS;150;@terra.com.br;domingos@terra.com.br
WAGNER;140;@outlook.com;wagner@outlook.com
SANDRO;68;@gmail.com;sandro@gmail.com
MOISES;4;@outlook.com;moises@outlook.com
EDILSON;57;@hotmail.com;edilson@hotmail.com
ADEMIR;305;@terra.com.br;ademir@terra.com.br
ADAO;234;@hotmail.com;adao@hotmail.com
EVANDRO;52;@outlook.com;evandro@outlook.com
CESAR;2;@yahoo.com;cesar@yahoo.com
VALMIR;19;@yahoo.com;valmir@yahoo.com
MURILO;269;@hotmail.com;murilo@hotmail.com
JULIANO;374;@terra.com.br;juliano@terra.com.br
EDVALDO;313;@hotmail.com;edvaldo@hotmail.com
AILTON;26;@gmail.com;ailton@gmail.com
JUNIOR;184;@terra.com.br;junior@terra.com.br
BRENO;187;@terra.com.br;breno@terra.com.br
NICOLAS;44;@hotmail.com;nicolas@hotmail.com
RUAN;130;@terra.com.br;ruan@terra.com.br
ALBERTO;245;@yahoo.com;alberto@yahoo.com
RUBENS;256;@outlook.com;rubens@outlook.com
NILTON;271;@yahoo.com;nilton@yahoo.com
AUGUSTO;376;@terra.com.br;augusto@terra.com.br
CLEBER;155;@outlook.com;cleber@outlook.com
OSMAR;71;@gmail.com;osmar@gmail.com
NILSON;361;@hotmail.com;nilson@hotmail.com
ORLANDO;159;@terra.com.br;orlando@terra.com.br
HUGO;378;@hotmail.com;hugo@hotmail.com
OTAVIO;272;@outlook.com;otavio@outlook.com
VINICIOS;147;@hotmail.com;vinicios@hotmail.com
ITALO;206;@terra.com.br;italo@terra.com.br
WILIAN;279;@terra.com.br;wilian@terra.com.br
ALISSON;315;@yahoo.com;alisson@yahoo.com
APARECIDO;332;@hotmail.com;aparecido@hotmail.com
ISRAEL;65;@hotmail.com;israel@hotmail.com
EDMILSON;326;@yahoo.com;edmilson@yahoo.com
JOSUE;393;@yahoo.com;josue@yahoo.com
GERSON;169;@hotmail.com;gerson@hotmail.com
CAUA;77;@outlook.com;caua@outlook.com
SIDNEI;291;@outlook.com;sidnei@outlook.com
EMANUEL;351;@gmail.com;emanuel@gmail.com
VALDEMAR;119;@yahoo.com;valdemar@yahoo.com
JAIME;214;@outlook.com;jaime@outlook.com
EDIVALDO;354;@terra.com.br;edivaldo@terra.com.br
ARNALDO;359;@terra.com.br;arnaldo@terra.com.br
MOACIR;181;@yahoo.com;moacir@yahoo.com
DAMIAO;349;@terra.com.br;damiao@terra.com.br
ISMAEL;100;@gmail.com;ismael@gmail.com
NIVALDO;362;@terra.com.br;nivaldo@terra.com.br
JAIRO;136;@gmail.com;jairo@gmail.com
ISAIAS;177;@hotmail.com;isaias@hotmail.com
MICHEL;385;@terra.com.br;michel@terra.com.br
ANGELO;85;@terra.com.br;angelo@terra.com.br
CRISTIAN;398;@outlook.com;cristian@outlook.com
WELLINGTON;40;@hotmail.com;wellington@hotmail.com
ALEXANDRO;341;@yahoo.com;alexandro@yahoo.com
VALDEMIR;3;@yahoo.com;valdemir@yahoo.com
WANDERSON;312;@gmail.com;wanderson@gmail.com
JAILSON;306;@terra.com.br;jailson@terra.com.br
DENIS;69;@terra.com.br;denis@terra.com.br
RIAN;209;@terra.com.br;rian@terra.com.br
CELIO;388;@outlook.com;celio@outlook.com
CLAUDINEI;254;@yahoo.com;claudinei@yahoo.com
DENILSON;335;@terra.com.br;denilson@terra.com.br
IAGO;340;@hotmail.com;iago@hotmail.com
EDER;112;@yahoo.com;eder@yahoo.com
YURI;225;@hotmail.com;yuri@hotmail.com
CHARLES;33;@hotmail.com;charles@hotmail.com
MARLON;74;@gmail.com;marlon@gmail.com
ALISON;48;@gmail.com;alison@gmail.com
JONATAN;127;@outlook.com;jonatan@outlook.com
ERIC;114;@outlook.com;eric@outlook.com
ELTON;97;@outlook.com;elton@outlook.com
VALDECIR;226;@gmail.com;valdecir@gmail.com
WESLEI;215;@terra.com.br;weslei@terra.com.br
NATANAEL;58;@yahoo.com;natanael@yahoo.com
ERICK;124;@yahoo.com;erick@yahoo.com
AGNALDO;107;@gmail.com;agnaldo@gmail.com
KAUAN;84;@outlook.com;kauan@outlook.com
ODAIR;18;@outlook.com;odair@outlook.com
WALTER;231;@yahoo.com;walter@yahoo.com
ARLINDO;99;@terra.com.br;arlindo@terra.com.br
MICHAEL;323;@terra.com.br;michael@terra.com.br
ALVARO;383;@terra.com.br;alvaro@terra.com.br
GEOVANE;366;@hotmail.com;geovane@hotmail.com
